"Lot_Area","House_Style","Heating_QC","Central_Air","Gr_Liv_Area","Fireplaces","Garage_Area","SalePrice","Age_Sold","Season_Sold"
"        4920","1Story","Ex","Y","        1338","           0","         582","      213500","           9","           2"
"        5005","1Story","Ex","Y","        1280","           0","         506","      191500","          18","           1"
"       10500","1Story","TA","Y","         864","           1","           0","      115000","          39","           2"
"        3203","1Story","Ex","Y","        1145","           0","         437","      160000","           4","           1"
"        7750","SLvl","Ex","Y","        1430","           1","         400","      180000","          10","           2"
"        7175","1Story","TA","Y","         752","           0","         264","      125000","          26","           1"
"        3880","1Story","TA","Y","        1226","           1","         484","      206000","          32","           1"
"        9900","1Story","Gd","Y","        1209","           0","         504","      159000","          44","           2"
"        8685","1Story","Ex","Y","        1425","           0","         591","      193000","           8","           2"
"       14112","SLvl","TA","Y","        1152","           1","         484","      180500","          46","           2"
"        9717","1Story","Gd","Y","        1078","           0","         240","      142125","          60","           2"
"        9920","1Story","TA","Y","        1063","           0","         280","      128000","          56","           1"
"        7800","1Story","Gd","Y","        1268","           1","         244","      132000","          56","           2"
"       11380","SFoyer","Gd","Y","        1128","           1","         315","      178000","          44","           1"
"       10950","1Story","TA","Y","        1064","           0","         318","      135000","          58","           2"
"        7500","1Story","Ex","Y","        1246","           0","         305","      154000","          51","           2"
"        7200","1Story","TA","Y","         900","           0","         576","      134800","          59","           2"
"        9236","1Story","Ex","Y","        1494","           0","         576","      217000","           9","           3"
"        9760","1Story","TA","Y","        1395","           1","         440","      192000","          47","           2"
"        4608","1Story","TA","Y","         747","           0","         220","       80000","          65","           3"
"        6900","1.5Fin","Gd","Y","        1251","           0","         240","      119000","          72","           1"
"        6240","1.5Fin","Gd","Y","        1040","           0","         624","      123900","          74","           2"
"        9900","1.5Fin","TA","N","        1392","           0","           0","      100000","          95","           1"
"        6342","1.5Fin","Gd","N","        1020","           0","           0","       94000","         135","           2"
"        7800","1Story","Ex","Y","         892","           0","         416","      137900","          44","           3"
"        9364","2Story","TA","Y","        1352","           0","         299","      158000","          41","           2"
"        7200","1Story","Ex","Y","         864","           0","         297","      119900","          34","           2"
"        7424","SFoyer","TA","Y","        1373","           2","         591","      160250","          32","           2"
"       10420","1Story","Ex","Y","        1212","           0","         460","      186000","           1","           2"
"       11200","1Story","Ex","Y","        1298","           0","         504","      114000","          46","           3"
"        8816","SLvl","Gd","Y","        1052","           0","         440","      155000","          39","           3"
"       11105","SFoyer","Gd","Y","         965","           0","         580","      159000","          14","           3"
"        4435","1Story","Ex","Y","         848","           0","         420","      143750","           7","           2"
"        4426","1Story","Ex","Y","         848","           0","         420","      143000","           6","           2"
"        8400","1Story","Ex","Y","        1484","           0","         606","      213000","           6","           2"
"       17755","1Story","TA","Y","        1466","           2","         528","      149900","          47","           4"
"        8777","1Story","TA","N","         640","           0","         240","       84900","          65","           2"
"        7890","1Story","TA","Y","         856","           1","         399","      126000","          71","           2"
"        9620","SLvl","TA","Y","        1285","           1","         473","      190000","          33","           2"
"       10114","1Story","Ex","Y","        1430","           0","         624","      173500","           6","           2"
"        2394","1Story","Ex","Y","         945","           1","         253","      119500","          37","           2"
"       26142","1Story","TA","Y","        1188","           0","         312","      157900","          48","           2"
"       10200","1Story","TA","Y","        1434","           1","         528","      157000","          35","           3"
"        8530","SLvl","Gd","Y","        1474","           1","         400","      168500","          14","           2"
"        8050","1Story","Ex","Y","         914","           0","           0","      117250","           4","           2"
"        8125","2Story","Gd","Y","        1481","           1","         343","      174000","          15","           2"
"       11050","1Story","Fa","Y","        1193","           1","         506","      158000","          34","           3"
"       10140","1Story","TA","Y","        1350","           1","         478","      165000","          35","           3"
"        8750","1Story","TA","Y","        1002","           0","         902","      148500","          39","           3"
"        7930","1Story","Gd","Y","        1026","           0","         440","      156000","          40","           3"
"        8120","1Story","Ex","Y","         864","           0","         463","      124500","          39","           3"
"        1680","2Story","TA","Y","         987","           0","         288","       97000","          37","           3"
"        2364","2Story","TA","Y","        1456","           1","         440","      138000","          31","           2"
"        8088","1Story","TA","N","         498","           0","         216","       35000","          84","           1"
"       10307","1Story","Ex","Y","        1358","           1","         484","      212500","           2","           2"
"       12589","2Story","Ex","Y","        1484","           1","         390","      174000","           4","           3"
"        5063","1Story","Ex","Y","        1314","           1","         626","      207500","           2","           2"
"        9734","SLvl","Ex","Y","        1374","           0","         400","      167000","           5","           2"
"        7848","SLvl","Ex","Y","        1430","           1","         410","      168000","          10","           3"
"        9139","1Story","Ex","Y","        1432","           1","         492","      245000","           3","           4"
"       13072","1Story","Ex","Y","        1114","           0","           0","      142000","           5","           3"
"       12450","1Story","Ex","Y","        1114","           0","         576","      153000","           6","           3"
"       15750","1Story","TA","Y","        1336","           2","         375","      157000","          53","           3"
"        8529","1Story","Ex","Y","        1434","           1","         527","      189000","           8","           2"
"        7175","1Story","Gd","Y","        1332","           0","         542","      145000","          19","           1"
"       12936","2Story","TA","Y","        1395","           1","         497","      162000","          37","           1"
"        9790","1Story","TA","Y","        1342","           1","         457","      161500","          42","           4"
"       11000","1Story","Ex","Y","        1154","           1","         480","      154000","          43","           4"
"        9768","1Story","Gd","Y","         960","           0","         330","      122000","          54","           1"
"        5330","1Story","Gd","Y","         708","           0","           0","       82500","          69","           1"
"        7015","1.5Fin","TA","Y","        1203","           1","         352","      110000","          59","           3"
"        7000","1.5Fin","Ex","Y","        1285","           0","         506","      145400","          80","           2"
"        9500","1Story","Gd","Y","        1394","           2","         514","      159000","          46","           3"
"       12400","1Story","TA","Y","        1215","           0","         297","      155000","          51","           3"
"        8480","1Story","TA","Y","         793","           0","         240","      113000","          64","           3"
"        9533","1Story","TA","Y","        1210","           0","         616","      102900","          56","           3"
"        5470","1Story","Gd","Y","         792","           0","         366","       99900","          51","           3"
"        5400","1Story","Gd","N","         599","           0","           0","       59000","          69","           3"
"       10800","1Story","TA","N","         846","           0","         576","      106000","          89","           3"
"       10143","1Story","Fa","Y","        1380","           0","         364","      154000","          46","           3"
"        8534","1Story","TA","N","         672","           0","           0","       72000","          81","           3"
"        8010","1Story","Gd","Y","         951","           0","         480","      143500","          51","           4"
"        7350","1Story","Gd","Y","        1041","           0","         294","      128000","          51","           2"
"        8604","SFoyer","Gd","Y","         941","           0","         564","      145000","          31","           4"
"        9900","2Story","Ex","Y","        1464","           0","           0","      129000","          99","           2"
"        5925","1Story","Fa","N","         612","           0","         308","       45000","          69","           4"
"        5784","1Story","Gd","Y","         886","           0","         273","       91300","          71","           1"
"        8520","1Story","TA","Y","         792","           0","         287","       99500","          86","           1"
"        3600","2Story","Ex","Y","        1288","           1","         280","      119000","          92","           2"
"       11040","1.5Fin","Gd","Y","        1336","           0","         570","      108000","          86","           4"
"        6615","1Story","TA","N","        1432","           1","         216","      149000","          86","           4"
"        8854","1.5Unf","Fa","N","         952","           1","         192","      121000","          93","           2"
"        6120","1Story","Fa","N","         800","           1","           0","       60000","          73","           1"
"        6629","2Story","TA","N","        1369","           0","         300","      103600","          84","           3"
"        8014","SFoyer","TA","Y","        1034","           1","         504","      149900","          31","           3"
"        9571","1Story","TA","Y","        1073","           0","         340","      121500","          53","           1"
"        7440","1Story","TA","Y","        1089","           1","         252","      125000","          55","           4"
"       11500","1Story","Ex","N","         845","           0","         290","       84000","          52","           1"
"        4500","1Story","Ex","Y","        1337","           0","         405","      153500","           8","           2"
"        9060","1.5Fin","TA","Y","        1258","           0","         280","      105000","          70","           4"
"        9017","1Story","Ex","Y","        1431","           0","         666","      192000","          10","           4"
"       16285","1Story","Ex","Y","        1430","           0","         605","      187100","           8","           3"
"       10739","1Story","Ex","Y","        1444","           0","         577","      203000","           7","           2"
"        4435","1Story","Ex","Y","         848","           0","         420","      144000","           6","           3"
"        8777","1Story","Ex","Y","        1126","           0","         520","      108000","          60","           2"
"        9937","1Story","Ex","Y","        1486","           0","         480","      167000","          45","           2"
"        3675","SFoyer","Gd","Y","        1072","           0","         525","      145500","           4","           2"
"        8885","1Story","TA","Y","         902","           0","         484","      131000","          23","           3"
"       10206","1Story","Fa","N","         944","           0","         528","       82000","          57","           3"
"       12354","1.5Fin","Gd","Y","        1196","           0","         528","      110000","          89","           3"
"        8212","1.5Fin","Ex","Y","        1298","           2","         256","      122000","          68","           4"
"        8400","1Story","TA","N","         438","           0","         246","       60000","          89","           1"
"        8574","1Story","Ex","Y","        1232","           1","         440","      147500","          93","           4"
"        7155","2Story","Ex","Y","        1228","           1","         215","      137000","          91","           2"
"        1733","2Story","TA","Y","        1032","           1","         452","      115000","          29","           2"
"        8925","1Story","Ex","Y","        1466","           0","         610","      201000","           2","           3"
"       14419","SLvl","Ex","Y","        1479","           1","         578","      213500","          22","           3"
"        6853","1Story","Ex","Y","        1296","           0","         471","      220000","           8","           3"
"        4500","1Story","Ex","Y","        1224","           0","         402","      165000","          10","           3"
"        9858","1Story","TA","Y","         874","           0","         288","      130000","          41","           4"
"       13383","1Story","Ex","Y","        1404","           1","         504","      160000","          40","           2"
"        1533","2Story","TA","Y","        1344","           1","           0","       97000","          39","           2"
"        8780","1Story","Ex","Y","         833","           0","           0","      112000","          24","           2"
"        5395","1Story","Gd","Y","        1337","           1","         462","      180000","          15","           4"
"       10825","1Story","TA","Y","        1260","           0","         598","      181900","          25","           3"
"       12735","1Story","TA","Y","         864","           0","         576","      111250","          36","           2"
"        1680","2Story","TA","Y","         987","           0","         264","       89500","          37","           3"
"        8198","1Story","Ex","Y","        1358","           1","         484","      207000","           4","           3"
"        8029","2Story","Ex","Y","        1456","           0","         400","      176000","           3","           3"
"        7500","1Story","Ex","Y","        1080","           0","           0","      141000","           4","           2"
"       13072","1Story","Ex","Y","        1175","           0","           0","      146000","           3","           3"
"       19508","1Story","TA","Y","        1430","           2","         484","      192000","          34","           3"
"        4282","1Story","Ex","Y","        1391","           0","         530","      196000","           4","           3"
"        4017","2Story","Ex","Y","        1250","           0","         625","      171900","           2","           2"
"        4385","1Story","Ex","Y","        1419","           1","         588","      290000","           7","           4"
"        2160","2Story","Ex","Y","        1252","           0","         462","      160000","           9","           2"
"        8125","1Story","Ex","Y","         925","           0","         576","      135000","          43","           3"
"       12122","SFoyer","Gd","Y","         999","           0","         588","      178400","          47","           3"
"       10007","1Story","Ex","Y","        1053","           0","         312","      145500","          49","           3"
"       12493","1Story","TA","Y","        1100","           1","         312","      141000","          48","           2"
"        6627","1Story","TA","N","         720","           0","         287","       72500","          59","           3"
"        4130","1Story","Gd","Y","         729","           0","           0","       52000","          73","           3"
"        4882","2Story","TA","Y","         906","           0","         231","       87000","          71","           4"
"        9150","SLvl","Gd","Y","        1431","           1","         296","      165000","          46","           1"
"        9204","1Story","TA","Y","        1144","           0","         336","      124000","          45","           3"
"        7763","1Story","TA","Y","        1283","           0","         506","      140000","          46","           4"
"        9840","1Story","TA","Y","        1440","           0","         480","      185000","          49","           3"
"       12774","1Story","TA","N","         950","           0","         400","      130000","          55","           3"
"       10122","1Story","TA","N","         869","           0","         390","       89900","          60","           3"
"       12929","1Story","TA","Y","        1081","           0","         401","      148000","          48","           3"
"        8000","1Story","TA","Y","        1027","           0","         299","      125900","          46","           4"
"        7931","1Story","TA","Y","        1269","           1","         308","      155000","          48","           3"
"        7200","1.5Fin","Fa","Y","        1278","           0","         240","      127500","          54","           2"
"        6300","2.5Unf","Ex","Y","        1484","           1","           0","      128000","          94","           3"
"        6120","1Story","Gd","N","         808","           0","         164","       81300","          63","           3"
"        6155","2Story","Ex","Y","        1362","           0","         502","      128000","          88","           3"
"        6324","1Story","Fa","N","         520","           0","         240","       68500","          81","           2"
"        7920","1.5Fin","TA","Y","        1406","           0","           0","       89500","          88","           2"
"       10320","2Story","Ex","N","        1344","           0","           0","       82375","          93","           2"
"       10320","1.5Fin","Ex","Y","        1469","           0","         216","      135000","         102","           3"
"       10106","1.5Fin","Gd","Y","        1355","           0","           0","      127500","          68","           4"
"       11200","1Story","Ex","Y","        1040","           0","         384","      129500","          43","           1"
"       13500","1Story","Gd","Y","        1252","           1","         564","      235000","          48","           2"
"       11512","SLvl","Gd","Y","        1357","           1","         312","      177000","          49","           2"
"       10452","1Story","Ex","Y","        1094","           2","         495","      155000","          55","           3"
"        9350","SFoyer","Fa","N","         864","           0","           0","       99600","          33","           2"
"        8405","1.5Fin","Ex","Y","        1367","           0","         384","      119000","         108","           2"
"        7000","2Story","TA","Y","        1347","           0","           0","      107500","          98","           1"
"       10880","1Story","TA","N","        1164","           0","         240","      125000","          58","           3"
"        9600","1.5Fin","Fa","N","        1096","           0","           0","       79000","          84","           2"
"        9750","1Story","Ex","Y","         990","           0","         528","      155000","          14","           3"
"        7990","1Story","TA","Y","         924","           0","         280","      110000","          33","           2"
"        4426","1Story","Ex","Y","         848","           1","         420","      141000","           4","           2"
"       10012","SFoyer","TA","Y","        1181","           0","         588","      137500","          36","           2"
"        6931","1Story","TA","N","         784","           0","           0","       91900","          53","           2"
"       11767","1.5Fin","Ex","Y","        1200","           0","         240","      130500","          62","           2"
"       12155","2Story","TA","N","        1482","           0","         400","      140000","          83","           2"
"        7290","1Story","Ex","Y","        1424","           1","         312","      168000","          87","           2"
"        8969","2Story","Ex","Y","        1316","           1","         369","      145000","          82","           3"
"        7801","1Story","Fa","N","        1091","           1","         344","      104000","          57","           2"
